Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",Water to Cement Ratio (W/C),Blast Furnace/Cement,Fly Ash/Cement
331,0,0,192,0,978,825,360,41.24,0.580060423,0,0
349,0,0,192,0,1047,806,3,14.99,0.550143266,0,0
331,0,0,192,0,978,825,3,13.52,0.580060423,0,0
382,0,0,186,0,1047,739,7,24,0.486910995,0,0
382,0,0,186,0,1047,739,28,37.42,0.486910995,0,0
382,0,0,186,0,1111,784,7,11.47,0.486910995,0,0
281,0,0,186,0,1104,774,28,22.44,0.661921708,0,0
339,0,0,185,0,1069,754,7,21.16,0.545722714,0,0
339,0,0,185,0,1069,754,28,31.84,0.545722714,0,0
295,0,0,185,0,1069,769,7,14.8,0.627118644,0,0
295,0,0,185,0,1069,769,28,25.18,0.627118644,0,0
238,0,0,185,0,1118,789,28,17.54,0.777310924,0,0
296,0,0,192,0,1085,765,7,14.2,0.648648649,0,0
296,0,0,192,0,1085,765,28,21.65,0.648648649,0,0
296,0,0,192,0,1085,765,90,29.39,0.648648649,0,0
331,0,0,192,0,879,825,3,13.52,0.580060423,0,0
331,0,0,192,0,978,825,7,16.26,0.580060423,0,0
331,0,0,192,0,978,825,28,31.45,0.580060423,0,0
331,0,0,192,0,978,825,90,37.23,0.580060423,0,0
349,0,0,192,0,1047,806,7,18.13,0.550143266,0,0
349,0,0,192,0,1047,806,28,32.72,0.550143266,0,0
349,0,0,192,0,1047,806,90,39.49,0.550143266,0,0
349,0,0,192,0,1047,806,180,41.05,0.550143266,0,0
349,0,0,192,0,1047,806,360,42.13,0.550143266,0,0
302,0,0,203,0,974,817,14,18.13,0.67218543,0,0
302,0,0,203,0,974,817,180,26.74,0.67218543,0,0
525,0,0,189,0,1125,613,180,61.92,0.36,0,0
500,0,0,200,0,1125,613,90,47.22,0.4,0,0
500,0,0,200,0,1125,613,180,51.04,0.4,0,0
500,0,0,200,0,1125,613,270,55.16,0.4,0,0
540,0,0,173,0,1125,613,3,41.64,0.32037037,0,0
252,0,0,185,0,1111,784,7,13.71,0.734126984,0,0
252,0,0,185,0,1111,784,28,19.69,0.734126984,0,0
339,0,0,185,0,1060,754,28,31.65,0.545722714,0,0
393,0,0,192,0,940,758,3,19.11,0.488549618,0,0
393,0,0,192,0,940,758,28,39.58,0.488549618,0,0
393,0,0,192,0,940,758,90,48.79,0.488549618,0,0
382,0,0,185,0,1047,739,7,24,0.484293194,0,0
382,0,0,185,0,1047,739,28,37.42,0.484293194,0,0
252,0,0,186,0,1111,784,7,11.47,0.738095238,0,0
252,0,0,185,0,1111,784,28,19.69,0.734126984,0,0
310,0,0,192,0,970,850,7,14.99,0.619354839,0,0
310,0,0,192,0,970,850,28,27.92,0.619354839,0,0
310,0,0,192,0,970,850,90,34.68,0.619354839,0,0
310,0,0,192,0,970,850,180,37.33,0.619354839,0,0
310,0,0,192,0,970,850,360,38.11,0.619354839,0,0
525,0,0,189,0,1125,613,3,33.8,0.36,0,0
525,0,0,189,0,1125,613,7,42.42,0.36,0,0
525,0,0,189,0,1125,613,14,48.4,0.36,0,0
525,0,0,189,0,1125,613,28,55.94,0.36,0,0
525,0,0,189,0,1125,613,90,58.78,0.36,0,0
525,0,0,189,0,1125,613,270,67.11,0.36,0,0
322,0,0,203,0,974,800,14,20.77,0.630434783,0,0
322,0,0,203,0,974,800,28,25.18,0.630434783,0,0
322,0,0,203,0,974,800,180,29.59,0.630434783,0,0
302,0,0,203,0,974,817,28,21.75,0.67218543,0,0
397,0,0,185,0,1040,734,28,39.09,0.465994962,0,0
480,0,0,192,0,936,721,3,24.39,0.4,0,0
522,0,0,146,0,896,896,7,50.51,0.279693487,0,0
522,0,0,146,0,896,896,28,74.99,0.279693487,0,0
273,105,82,210,9,904,680,28,37.17,0.769230769,0.384615385,0.3003663
162,190,148,179,19,838,741,28,33.76,1.104938272,1.172839506,0.913580247
154,144,112,220,10,923,658,28,16.5,1.428571429,0.935064935,0.727272727
147,115,89,202,9,860,829,28,19.99,1.37414966,0.782312925,0.605442177
152,178,139,168,18,944,695,28,36.35,1.105263158,1.171052632,0.914473684
310,143,111,168,22,914,651,28,33.69,0.541935484,0.461290323,0.358064516
144,0,175,158,18,943,844,28,15.42,1.097222222,0,1.215277778
304,140,0,214,6,895,722,28,33.42,0.703947368,0.460526316,0
374,0,0,190,7,1013,730,28,39.05,0.50802139,0,0
159,149,116,175,15,953,720,28,27.68,1.100628931,0.937106918,0.729559748
153,239,0,200,6,1002,684,28,26.86,1.307189542,1.562091503,0
310,143,0,168,10,914,804,28,45.3,0.541935484,0.461290323,0
305,0,100,196,10,959,705,28,30.12,0.642622951,0,0.327868852
151,0,184,167,12,991,772,28,15.57,1.105960265,0,1.218543046
142,167,130,174,11,883,785,28,44.61,1.225352113,1.176056338,0.915492958
298,137,107,201,6,878,655,28,53.52,0.674496644,0.459731544,0.359060403
321,164,0,190,5,870,774,28,57.21,0.591900312,0.510903427,0
366,187,0,191,7,824,757,28,65.91,0.521857923,0.510928962,0
280,129,100,172,9,825,805,28,52.82,0.614285714,0.460714286,0.357142857
252,97,76,194,8,835,821,28,33.4,0.76984127,0.384920635,0.301587302
165,0,150,182,12,1023,729,28,18.03,1.103030303,0,0.909090909
156,243,0,180,11,1022,698,28,37.36,1.153846154,1.557692308,0
160,188,146,203,11,829,710,28,32.84,1.26875,1.175,0.9125
298,0,107,186,6,879,815,28,42.64,0.624161074,0,0.359060403
318,0,126,210,6,861,737,28,40.06,0.660377358,0,0.396226415
287,121,94,188,9,904,696,28,41.94,0.655052265,0.421602787,0.327526132
326,166,0,174,9,882,790,28,61.23,0.533742331,0.509202454,0
356,0,142,193,11,801,778,28,40.87,0.542134831,0,0.398876404
132,207,161,179,5,867,736,28,33.3,1.356060606,1.568181818,1.21969697
322,149,0,186,8,951,709,28,52.42,0.577639752,0.462732919,0
164,0,200,181,13,849,846,28,15.09,1.103658537,0,1.219512195
314,0,113,170,10,925,783,28,38.46,0.541401274,0,0.359872611
321,0,128,182,11,870,780,28,37.26,0.566978193,0,0.398753894
140,164,128,237,6,869,656,28,35.23,1.692857143,1.171428571,0.914285714
288,121,0,177,7,908,829,28,42.13,0.614583333,0.420138889,0
298,0,107,210,11,880,744,28,31.87,0.704697987,0,0.359060403
265,111,86,195,6,833,790,28,41.54,0.735849057,0.418867925,0.324528302
160,250,0,168,12,1049,688,28,39.45,1.05,1.5625,0
166,260,0,183,13,859,827,28,37.91,1.102409639,1.56626506,0
276,116,90,180,9,870,768,28,44.28,0.652173913,0.420289855,0.326086957
322,0,116,196,10,818,813,28,31.18,0.608695652,0,0.360248447
149,139,109,193,6,892,780,28,23.69,1.295302013,0.932885906,0.731543624
159,187,0,176,11,990,789,28,32.76,1.106918239,1.176100629,0
261,100,78,201,9,864,761,28,32.4,0.770114943,0.383141762,0.298850575
237,92,71,247,6,853,695,28,28.63,1.042194093,0.388185654,0.299578059
313,0,113,178,8,1002,689,28,36.8,0.568690096,0,0.361022364
155,183,0,193,9,1047,697,28,18.28,1.24516129,1.180645161,0
146,230,0,202,3,827,872,28,33.06,1.383561644,1.575342466,0
296,0,107,221,11,819,778,28,31.42,0.746621622,0,0.361486486
133,210,0,196,3,949,795,28,31.03,1.473684211,1.578947368,0
313,145,0,178,8,867,824,28,44.39,0.568690096,0.463258786,0
152,0,112,184,8,992,816,28,12.18,1.210526316,0,0.736842105
153,145,113,178,8,1002,689,28,25.56,1.163398693,0.947712418,0.738562092
140,133,103,200,7,916,753,28,36.44,1.428571429,0.95,0.735714286
149,236,0,176,13,847,893,28,32.96,1.181208054,1.583892617,0
300,0,120,212,10,878,728,28,23.84,0.706666667,0,0.4
153,145,113,178,8,867,824,28,26.23,1.163398693,0.947712418,0.738562092
148,0,137,158,16,1002,830,28,17.95,1.067567568,0,0.925675676
326,0,138,199,11,801,792,28,40.68,0.610429448,0,0.423312883
153,145,0,178,8,1000,822,28,19.01,1.163398693,0.947712418,0
262,111,86,195,5,895,733,28,33.72,0.744274809,0.423664122,0.328244275
158,0,195,220,11,898,713,28,8.54,1.392405063,0,1.234177215
151,0,185,167,16,1074,678,28,13.46,1.105960265,0,1.225165563
273,0,90,199,11,931,762,28,32.24,0.728937729,0,0.32967033
149,118,92,183,7,953,780,28,23.52,1.228187919,0.791946309,0.617449664
143,169,143,191,8,967,643,28,29.72,1.335664336,1.181818182,1
260,101,78,171,10,936,763,28,49.77,0.657692308,0.388461538,0.3
313,161,0,178,10,917,759,28,52.44,0.568690096,0.514376997,0
284,120,0,168,7,970,794,28,40.93,0.591549296,0.422535211,0
336,0,0,182,3,986,817,28,44.86,0.541666667,0,0
145,0,134,181,11,979,812,28,13.2,1.248275862,0,0.924137931
150,237,0,174,12,1069,675,28,37.43,1.16,1.58,0
144,170,133,192,8,814,805,28,29.87,1.333333333,1.180555556,0.923611111
331,170,0,195,8,811,802,28,56.61,0.589123867,0.513595166,0
155,0,143,193,9,1047,697,28,12.46,1.24516129,0,0.922580645
155,183,0,193,9,877,868,28,23.79,1.24516129,1.180645161,0
135,0,166,180,10,961,805,28,13.29,1.333333333,0,1.22962963
266,112,87,178,10,910,745,28,39.42,0.669172932,0.421052632,0.327067669
314,145,113,179,8,869,690,28,46.23,0.570063694,0.461783439,0.359872611
313,145,0,127,8,1000,822,28,44.52,0.405750799,0.463258786,0
146,173,0,182,3,986,817,28,23.74,1.246575342,1.184931507,0
144,136,106,178,7,941,774,28,26.14,1.236111111,0.944444444,0.736111111
148,0,182,181,15,839,884,28,15.52,1.222972973,0,1.22972973
277,117,91,191,7,946,666,28,43.57,0.689530686,0.422382671,0.328519856
298,0,107,164,13,953,784,28,35.86,0.55033557,0,0.359060403
313,145,0,178,8,1002,689,28,41.05,0.568690096,0.463258786,0
155,184,143,194,9,880,699,28,28.99,1.251612903,1.187096774,0.922580645
289,134,0,195,6,924,760,28,46.24,0.674740484,0.46366782,0
148,175,0,171,2,1000,828,28,26.92,1.155405405,1.182432432,0
145,0,179,202,8,824,869,28,10.54,1.393103448,0,1.234482759
313,0,0,178,8,1000,822,28,25.1,0.568690096,0,0
136,162,126,172,10,923,764,28,29.07,1.264705882,1.191176471,0.926470588
155,0,143,193,9,877,868,28,9.74,1.24516129,0,0.922580645
255,99,77,189,6,919,749,28,33.8,0.741176471,0.388235294,0.301960784
162,207,172,216,10,822,638,28,39.84,1.333333333,1.277777778,1.061728395
136,196,98,199,6,847,783,28,26.97,1.463235294,1.441176471,0.720588235
164,163,128,197,8,961,641,28,27.23,1.201219512,0.993902439,0.780487805
162,214,164,202,10,820,680,28,30.65,1.24691358,1.320987654,1.012345679
157,214,152,200,9,819,704,28,33.05,1.27388535,1.363057325,0.968152866
149,153,194,192,8,935,623,28,24.58,1.288590604,1.026845638,1.302013423
135,105,193,196,6,965,643,28,21.91,1.451851852,0.777777778,1.42962963
159,209,161,201,7,848,669,28,30.88,1.264150943,1.314465409,1.012578616
144,15,195,176,6,1021,709,28,15.34,1.222222222,0.104166667,1.354166667
154,174,185,228,7,845,612,28,24.34,1.480519481,1.12987013,1.201298701
167,187,195,185,7,898,636,28,23.89,1.107784431,1.119760479,1.167664671
184,86,190,213,6,923,623,28,22.93,1.157608696,0.467391304,1.032608696
156,178,187,221,7,854,614,28,29.41,1.416666667,1.141025641,1.198717949
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63,1.042211904,0.387083157,0.301815112
313.3,0,113,178.5,8,1001.9,688.7,28,36.8,0.569741462,0,0.360676668
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29,1.24870801,1.184754522,0
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72,1.387936943,1.579849212,0
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42,0.747972973,0,0.360472973
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94,1.470323065,1.579263711,0
313.3,145,0,178.5,8,867.2,824,28,40.93,0.569741462,0.462815193,0
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18,1.216358839,0,0.738126649
153.1,145,113,178.5,8,1001.9,688.7,28,25.56,1.165904637,0.947093403,0.738079686
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44,1.431736955,0.947819871,0.73838456
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96,1.175919732,1.578595318,0
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84,0.705470314,0,0.399599733
153.1,145,113,178.5,8,867.2,824,28,26.23,1.165904637,0.947093403,0.738079686
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96,1.067521945,0,0.922349764
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63,0.60949464,0,0.422358346
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01,1.166339227,0.947609692,0
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72,0.746086292,0.421916762,0.328751432
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54,1.386994949,0,1.230429293
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46,1.106171201,0,1.229595222
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25,0.728906823,0,0.32868672
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52,1.227516779,0.789261745,0.615436242
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73,1.333566434,1.184615385,0.997902098
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77,0.65640631,0.387071951,0.301654482
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45,0.56759348,0.512943432,0
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93,0.592605634,0.421478873,0
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87,0.540564636,0,0
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2,1.248618785,0,0.922651934
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43,1.158666667,1.578666667,0
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87,1.333333333,1.184411969,0.922755741
330.5,169.6,0,194.9,8.1,811,802.3,28,56.62,0.589712557,0.513161876,0
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46,1.24870801,0,0.92248062
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79,1.24870801,1.184754522,0
134.7,0,165.7,180.2,10,961,804.9,28,13.29,1.337787676,0,1.230141054
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42,0.668294515,0.421863261,0.328700225
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23,0.569745223,0.462738854,0.360509554
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52,0.407099456,0.462743844,0
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74,1.248455731,1.184625944,0
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15,1.23852573,0.947844228,0.73852573
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53,1.224848076,0,1.229574612
277,116.8,91,190.6,7,946.5,665.6,28,43.58,0.688086643,0.42166065,0.328519856
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87,0.548809124,0,0.360617243
313.3,145,0,178.5,8,1001.9,688.7,28,41.05,0.569741462,0.462815193,0
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99,1.24871134,1.18492268,0.922680412
289,133.7,0,194.9,5.5,924.1,760.1,28,46.25,0.674394464,0.462629758,0
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92,1.158322057,1.184709066,0
145.4,0,178.9,201.7,7.8,824,868.7,28,10.54,1.387207703,0,1.2303989
312.7,0,0,178.1,8,999.7,822.2,28,25.1,0.569555484,0,0
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07,1.258064516,1.184750733,0.92228739
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74,1.24870801,0,0.92248062
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8,0.738738739,0.386995691,0.301605954
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17,0.768695015,0.38526393,0.299853372
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76,1.103703704,1.17345679,0.914197531
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5,1.432942708,0.938802083,0.731119792
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99,1.378156997,0.78225256,0.609556314
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35,1.10342556,1.173254282,0.91370224
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,0.541464989,0.460793804,0.358825428
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42,1.103064067,0,1.217966574
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42,0.703227931,0.460803689,0
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06,0.508148544,0,0
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68,1.104035309,0.938839849,0.731399748
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86,1.31061599,1.564220183,0
310,142.8,0,167.9,10,914.3,804,28,45.3,0.541612903,0.460645161,0
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12,0.643044619,0,0.326771654
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57,1.104042412,0,1.218687873
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61,1.222692037,1.174066244,0.914023961
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52,0.675957018,0.460711887,0.358965749
321.3,164.2,0,190.5,4.6,870,774,28,57.22,0.592903828,0.511048864,0
366,187,0,191.3,6.6,824.3,756.9,28,65.91,0.522677596,0.510928962,0
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83,0.616154396,0.460686204,0.358827734
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,0.768742562,0.385164617,0.299881
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03,1.10328068,0,0.913730255
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36,1.15874036,1.564910026,0
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31,1.268414482,1.173533084,0.913857678
298.1,0,107,186.4,6.1,879,815.2,28,42.64,0.625293526,0,0.358939953
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06,0.659641397,0,0.397923875
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8,0.652975983,0.419422207,0.32683606
325.6,166.4,0,174,8.9,881.6,790,28,61.24,0.534398034,0.511056511,0
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87,0.543130093,0,0.397864569
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31,1.35530303,1.564393939,1.218939394
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43,0.576124031,0.460775194,0
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09,1.103532278,0,1.21863581
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46,0.541427661,0,0.358827279
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27,0.567828251,0,0.397946484
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23,1.694345025,1.173228346,0.914101646
288.4,121,0,177.4,7,907.9,829.5,28,42.14,0.615117892,0.419556172,0
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88,0.703219316,0,0.358819584
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54,0.739130435,0.419659735,0.327032136
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46,1.053817272,1.564455569,0
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92,1.103614458,1.564457831,0
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28,0.649782923,0.419681621,0.326700434
322.2,0,115.6,196,10.4,817.9,813.4,28,31.18,0.608317815,0,0.358783364
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7,1.297643098,0.938720539,0.731313131
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77,1.10370836,1.173475801,0
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4,0.768876964,0.385205059,0.300114987
